Experiment,Session,Market,Period,LastPrice,Fundamental,VWAP_Buy,VWAP_Sell,VWAP_Overall,CloseDrift,CloseDrift_Pct,TotalVolume,Candidates_Sell,Candidates_Buy,Candidate_SubjectIDs_Sell,Candidate_SubjectIDs_Buy
Choice A,2,3.0,14,39.26,48,32.90875,32.91,32.909375,6.350625000000001,19.29731269585035,16,0,1,[],[np.int64(10)]
Choice A,2,3.0,15,27.53,24,22.24333333333333,22.243333333333336,22.24333333333333,5.286666666666672,23.76742095009744,12,0,1,[],[np.int64(8)]
Choice A,2,4.0,1,378.27,360,369.7033333333333,369.7033333333333,369.7033333333333,8.566666666666663,2.3171732289854017,6,1,1,[np.int64(6)],[np.int64(2)]
Choice A,2,4.0,2,364.85,336,359.79,359.78999999999996,359.78999999999996,5.060000000000059,1.4063759415214596,8,2,2,"[np.int64(11), np.int64(12)]","[np.int64(5), np.int64(10)]"
Choice A,2,4.0,3,326.87,312,330.4425,330.44,330.44124999999997,-3.5712499999999636,-1.08075187344194,8,1,0,[np.int64(12)],[]
Choice A,2,4.0,4,334.32,288,326.73142857142864,326.7314285714286,326.7314285714286,7.588571428571413,2.3225716184546457,28,0,0,[],[]
Choice A,2,4.0,5,334.15000000000003,264,330.7425,330.74249999999995,330.74249999999995,3.407500000000084,1.0302576778007315,16,1,0,[np.int64(7)],[]
Choice A,2,4.0,6,321.8,240,320.78875,320.78875,320.78875,1.0112500000000182,0.31523861107972717,16,1,0,[np.int64(7)],[]
Choice A,2,4.0,7,286.04,216,292.6272727272727,292.62727272727267,292.62727272727267,-6.587272727272648,-2.251079561340804,22,1,0,[np.int64(8)],[]
Choice A,2,4.0,8,254.67,192,261.6147368421053,261.61578947368423,261.6152631578948,-6.9452631578948,-2.6547622161108655,38,0,0,[],[]
Choice A,2,4.0,9,251.94,168,249.5906666666667,249.58933333333334,249.59000000000003,2.349999999999966,0.9415441323770847,60,0,0,[],[]
Choice A,2,4.0,10,235.25,144,241.10103448275862,241.09931034482761,241.10017241379313,-5.850172413793132,-2.4264488719454973,58,0,0,[],[]
Choice A,2,4.0,11,100.34,120,96.625,96.625,96.625,3.7150000000000034,3.844760672703755,8,0,1,[],[np.int64(12)]
Choice A,2,4.0,12,100.53,96,95.58285714285714,95.5842857142857,95.58357142857142,4.946428571428584,5.174977768146063,14,1,0,[np.int64(9)],[]
Choice A,2,4.0,13,68.01,72,69.21818181818182,62.958181818181814,66.08818181818182,1.9218181818181819,2.9079604385325393,22,0,0,[],[]
Choice A,2,4.0,14,43.62,48,48.199999999999996,48.199999999999996,48.199999999999996,-4.579999999999998,-9.502074688796677,12,1,1,[np.int64(1)],[np.int64(11)]
Choice A,2,4.0,15,1.0,24,5.330909090909091,5.330909090909092,5.330909090909091,-4.330909090909091,-81.24147339699863,22,1,6,[np.int64(4)],"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(8), np.int64(11)]"
Choice A,2,5.0,1,370.51,360,371.81000000000006,371.81000000000006,371.81000000000006,-1.3000000000000682,-0.34964094564429893,8,1,1,[np.int64(9)],[np.int64(2)]
Choice A,2,5.0,2,358.97,336,353.515,353.51750000000004,353.51625,5.453750000000014,1.542715504591377,8,1,1,[np.int64(7)],[np.int64(2)]
Choice A,2,5.0,3,322.58,312,321.86000000000007,321.8616666666667,321.86083333333335,0.7191666666666379,0.22344025497561454,12,0,0,[],[]
Choice A,2,5.0,4,318.40000000000003,288,320.71125,320.71000000000004,320.71062500000005,-2.310625000000016,-0.7204703617162717,16,1,0,[np.int64(3)],[]
Choice A,2,5.0,5,318.82,264,316.33600000000007,316.336,316.33600000000007,2.4839999999999236,0.7852410095594314,10,1,0,[np.int64(7)],[]
Choice A,2,5.0,6,295.34000000000003,240,287.89666666666665,287.8955555555556,287.8961111111111,7.443888888888921,2.5856163392273173,18,1,0,[np.int64(6)],[]
Choice A,2,5.0,7,189.87,216,188.45285714285714,188.45428571428573,188.45357142857145,1.416428571428554,0.7516061174597667,14,0,1,[],[np.int64(12)]
Choice A,2,5.0,8,192.55,192,193.3042857142857,193.30285714285716,193.30357142857142,-0.753571428571405,-0.3898383371824359,14,1,1,[np.int64(11)],[np.int64(10)]
Choice A,2,5.0,9,186.57,168,184.17000000000002,184.17142857142858,184.1707142857143,2.3992857142856963,1.302750941478975,14,1,0,[np.int64(3)],[]
Choice A,2,5.0,10,168.3,144,169.202,169.2,169.201,-0.900999999999982,-0.5325027629860237,10,1,0,[np.int64(3)],[]
Choice A,2,5.0,11,105.43,120,95.20833333333333,95.20833333333333,95.20833333333333,10.221666666666678,10.736105032822769,24,0,1,[],[np.int64(12)]
Choice A,2,5.0,12,103.09,96,99.1975,99.19875,99.198125,3.891874999999999,3.923335244491767,16,0,0,[],[]
Choice A,2,5.0,13,64.62,72,64.8375,64.8375,64.8375,-0.21750000000000114,-0.3354540196645477,8,1,1,[np.int64(3)],[np.int64(11)]
Choice A,2,5.0,14,29.45,48,23.916666666666668,23.916666666666668,23.916666666666668,5.533333333333331,23.13588850174215,6,1,1,[np.int64(12)],[np.int64(7)]
Choice A,2,5.0,15,26.43,24,23.078571428571426,23.075714285714287,23.077142857142857,3.352857142857143,14.528909248483348,14,0,1,[],[np.int64(5)]
Choice A,3,1.0,1,383.66,360,383.66,383.66,383.66,0.0,0.0,2,1,1,[np.int64(1)],[np.int64(1)]
Choice A,3,1.0,2,429.43,336,429.43,429.43,429.43,0.0,0.0,2,1,1,[np.int64(7)],[np.int64(7)]
Choice A,3,1.0,3,466.15,312,466.15,466.15,466.15,0.0,0.0,2,1,1,[np.int64(2)],[np.int64(2)]
Choice A,3,1.0,4,535.72,288,535.72,535.72,535.72,0.0,0.0,2,1,1,[np.int64(12)],[np.int64(12)]
Choice A,3,1.0,5,678.1,264,678.1,678.1,678.1,0.0,0.0,2,1,1,[np.int64(8)],[np.int64(8)]
Choice A,3,1.0,6,527.8,240,527.8,527.8,527.8,0.0,0.0,2,1,1,[np.int64(1)],[np.int64(1)]
Choice A,3,1.0,7,391.87,216,390.0,389.99916666666655,389.99958333333325,1.870416666666756,0.47959452948135795,24,1,0,[np.int64(10)],[]
Choice A,3,1.0,8,289.89,192,289.89,289.89,289.89,0.0,0.0,2,1,1,[np.int64(9)],[np.int64(9)]
Choice A,3,1.0,9,355.6,168,355.95,355.95199999999994,355.95099999999996,-0.35099999999994225,-0.09860907821580563,10,1,0,[np.int64(4)],[]
Choice A,3,1.0,10,267.53000000000003,144,274.03499999999997,274.0355,274.03525,-6.5052499999999895,-2.373873434165856,40,0,0,[],[]
Choice A,3,1.0,11,196.9,120,190.43921052631578,190.44078947368425,190.44,6.460000000000008,3.392144507456421,76,0,0,[],[]
Choice A,3,1.0,12,153.31,96,153.19750000000002,153.1975,153.1975,0.11250000000001137,0.07343461871114827,48,0,0,[],[]
Choice A,3,1.0,13,120.86,72,120.27499999999999,120.27666666666664,120.27583333333332,0.5841666666666754,0.4856891450901127,24,0,0,[],[]
Choice A,3,1.0,14,48.76,48,41.59666666666667,41.596666666666664,41.59666666666667,7.163333333333327,17.220931164356102,24,0,0,[],[]
Choice A,3,1.0,15,35.19,24,27.835625,27.833124999999995,27.834374999999998,7.355625,26.426406197372852,32,0,0,[],[]
Choice A,3,2.0,1,392.8,360,392.8,392.8,392.8,0.0,0.0,2,1,1,[np.int64(12)],[np.int64(12)]
Choice A,3,2.0,2,394.86,336,402.4,402.40125,402.400625,-7.540624999999977,-1.8739098628388007,16,1,0,[np.int64(6)],[]
Choice A,3,2.0,3,410.31,312,421.28749999999997,421.2875,421.2875,-10.97750000000002,-2.605702756431183,8,1,0,[np.int64(11)],[]
Choice A,3,2.0,4,450.91,288,452.77,452.765,452.7675,-1.857499999999959,-0.4102547113032537,4,1,0,[np.int64(6)],[]
Choice A,3,2.0,5,518.71,264,524.92,524.9200000000001,524.9200000000001,-6.210000000000036,-1.183037415225184,4,1,0,[np.int64(7)],[]
Choice A,3,2.0,6,369.27,240,368.90500000000003,368.90500000000003,368.90500000000003,0.36499999999995225,0.0989414618939706,28,1,0,[np.int64(8)],[]
Choice A,3,2.0,7,395.11,216,390.373,390.372,390.37250000000006,4.7374999999999545,1.2135844609955757,20,1,1,[np.int64(12)],[np.int64(12)]
Choice A,3,2.0,8,428.87,192,419.85434782608695,419.855652173913,419.85499999999996,9.015000000000043,2.1471698562599095,46,0,0,[],[]
Choice A,3,2.0,9,266.63,168,272.4676470588235,272.46705882352944,272.46735294117644,-5.837352941176448,-2.1424045406411265,34,0,0,[],[]
Choice A,3,2.0,10,315.34000000000003,144,319.90882352941173,319.9094117647059,319.9091176470588,-4.569117647058761,-1.4282548995992232,34,0,0,[],[]
Choice A,3,2.0,11,162.70000000000002,120,163.9528571428571,163.95071428571427,163.9517857142857,-1.2517857142856883,-0.7635084356245689,28,0,0,[],[]
Choice A,3,2.0,12,111.66,96,112.97,112.9675,112.96875,-1.3087500000000034,-1.158506224066393,8,1,0,[np.int64(10)],[]
Choice A,3,2.0,13,48.11,72,52.155,52.155,52.155,-4.045000000000002,-7.755728118109484,4,1,1,[np.int64(9)],[np.int64(12)]
Choice A,3,2.0,14,44.83,48,38.0,37.99666666666667,37.998333333333335,6.8316666666666634,17.97885872187376,6,0,1,[],[np.int64(12)]
Choice A,3,2.0,15,9.74,24,9.74,9.74,9.74,0.0,0.0,2,1,1,[np.int64(12)],[np.int64(12)]
Choice A,3,3.0,1,390.58,360,390.58,390.58,390.58,0.0,0.0,2,1,1,[np.int64(6)],[np.int64(6)]
Choice A,3,3.0,2,389.72,336,389.72,389.72,389.72,0.0,0.0,2,1,1,[np.int64(12)],[np.int64(12)]
Choice A,3,3.0,3,353.73,312,353.73,353.73,353.73,0.0,0.0,2,1,1,[np.int64(11)],[np.int64(11)]
Choice A,3,3.0,4,355.51,288,355.51,355.51,355.51,0.0,0.0,2,1,1,[np.int64(7)],[np.int64(7)]
Choice A,3,3.0,5,369.8,264,361.585,361.585,361.585,8.215000000000032,2.271941590497402,16,1,0,[np.int64(4)],[]
Choice A,3,3.0,6,374.18,240,379.93,379.9316666666667,379.93083333333334,-5.750833333333333,-1.5136527043299546,12,1,0,[np.int64(6)],[]
Choice A,3,3.0,7,229.18,216,234.99866666666665,234.99799999999996,234.9983333333333,-5.8183333333333,-2.4759040844261166,30,1,0,[np.int64(11)],[]
Choice A,3,3.0,8,224.79,192,226.02521739130435,226.02521739130438,226.02521739130435,-1.23521739130436,-0.5464953891254973,46,0,0,[],[]
Choice A,3,3.0,9,233.96,168,230.77882352941177,230.7811764705882,230.78,3.180000000000007,1.377935696334174,34,0,0,[],[]
Choice A,3,3.0,10,233.53,144,235.43380952380954,235.43714285714287,235.4354761904762,-1.9054761904762074,-0.8093411499865063,42,0,0,[],[]
Choice A,3,3.0,11,220.24,120,216.13666666666668,216.13466666666667,216.13566666666665,4.104333333333358,1.898961608989427,30,0,0,[],[]
Choice A,3,3.0,12,106.74,96,104.58666666666666,104.585,104.58583333333333,2.1541666666666686,2.0597117200385666,12,1,0,[np.int64(12)],[]
Choice A,3,3.0,13,88.45,72,81.90400000000001,81.90200000000002,81.903,6.546999999999997,7.993602187954039,10,1,0,[np.int64(2)],[]
Choice A,3,3.0,14,52.05,48,51.57399999999999,51.574,51.574,0.4759999999999991,0.9229456702989861,20,1,0,[np.int64(11)],[]
Choice A,3,3.0,15,4.57,24,2.290833333333333,2.29,2.2904166666666668,2.2795833333333335,99.52701473531017,24,0,1,[],[np.int64(7)]
Choice A,3,4.0,1,368.26,360,368.345,368.345,368.345,-0.08500000000003638,-0.02307619215681939,4,1,1,[np.int64(3)],[np.int64(1)]
Choice A,3,4.0,2,349.94,336,349.94,349.94,349.94,0.0,0.0,2,1,1,[np.int64(6)],[np.int64(6)]
Choice A,3,4.0,3,343.09000000000003,312,339.7233333333333,339.7211111111111,339.72222222222223,3.3677777777778033,0.991332788225682,18,1,0,[np.int64(3)],[]
Choice A,3,4.0,4,325.67,288,335.84777777777776,335.84888888888895,335.84833333333336,-10.178333333333342,-3.0306338674699416,18,1,0,[np.int64(1)],[]
Choice A,3,4.0,5,340.24,264,343.515,343.51142857142855,343.51321428571424,-3.273214285714232,-0.9528641547372217,28,0,0,[],[]
Choice A,3,4.0,6,329.15000000000003,240,328.2066666666667,328.2066666666667,328.2066666666667,0.943333333333328,0.2874205277162747,6,1,0,[np.int64(10)],[]
Choice A,3,4.0,7,291.62,216,293.9554545454546,293.9563636363636,293.9559090909091,-2.3359090909090696,-0.7946460740092367,22,1,0,[np.int64(6)],[]
Choice A,3,4.0,8,258.41,192,267.3516666666667,267.3488888888889,267.3502777777778,-8.940277777777794,-3.3440316023194763,36,0,0,[],[]
Choice A,3,4.0,9,274.24,168,265.99071428571426,265.98785714285714,265.9892857142857,8.25071428571431,3.1018972300173298,28,1,0,[np.int64(10)],[]
